pointid,grid_code,POINT_X,POINT_Y
462,-4933.4926758,-104.006741969680377,31.901240653151376
463,-4933.4926758,-104.001828392994128,31.901240653151376
464,-4949.3422852,-103.996914816307878,31.901240653151376
465,-4949.3422852,-103.992001239621629,31.901240653151376
466,-4965.8017578,-103.987087662935323,31.901240653151376
467,-4965.8017578,-103.982174086249188,31.901240653151376
468,-4983.4799805,-103.977260509562939,31.901240653151376
469,-4983.4799805,-103.972346932876690,31.901240653151376
470,-5002.0727539,-103.967433356190440,31.901240653151376
471,-5002.0727539,-103.962519779504305,31.901240653151376
472,-5025.5424805,-103.957606202818056,31.901240653151376
473,-5025.5424805,-103.952692626131807,31.901240653151376
474,-5045.6591797,-103.947779049445501,31.901240653151376
475,-5045.6591797,-103.942865472759365,31.901240653151376
476,-5073.0913086,-103.937951896073116,31.901240653151376
477,-5073.0913086,-103.933038319386867,31.901240653151376
478,-5073.0913086,-103.928124742700618,31.901240653151376
479,-5100.2182617,-103.923211166014312,31.901240653151376
480,-5100.2182617,-103.918297589328176,31.901240653151376
481,-5127.3457031,-103.913384012641927,31.901240653151376
482,-5127.3457031,-103.908470435955678,31.901240653151376
483,-5155.0825195,-103.903556859269429,31.901240653151376
484,-5155.0825195,-103.898643282583123,31.901240653151376
485,-5182.2094727,-103.893729705897044,31.901240653151376
486,-5182.2094727,-103.888816129210795,31.901240653151376
487,-5205.3745117,-103.883902552524489,31.901240653151376
488,-5205.3745117,-103.878988975838240,31.901240653151376
489,-5228.5390625,-103.874075399152105,31.901240653151376
490,-5228.5390625,-103.869161822465855,31.901240653151376
491,-5252.3134766,-103.864248245779606,31.901240653151376
492,-5252.3134766,-103.859334669093300,31.901240653151376
493,-5252.3134766,-103.854421092407165,31.901240653151376
494,-5276.0878906,-103.849507515720916,31.901240653151376
495,-5276.0878906,-103.844593939034667,31.901240653151376
496,-5299.5576172,-103.839680362348417,31.901240653151376
497,-5299.5576172,-103.834766785662111,31.901240653151376
498,-5322.7226562,-103.829853208976033,31.901240653151376
499,-5337.9624023,-103.824939632289784,31.901240653151376
500,-5355.9458008,-103.820026055603478,31.901240653151376
501,-5355.9458008,-103.815112478917229,31.901240653151376
502,-5372.7094727,-103.810198902230979,31.901240653151376
503,-5372.7094727,-103.805285325544844,31.901240653151376
504,-5388.2543945,-103.800371748858595,31.901240653151376
505,-5388.2543945,-103.795458172172289,31.901240653151376
506,-5388.2543945,-103.790544595486153,31.901240653151376
507,-5402.2753906,-103.785631018799904,31.901240653151376
508,-5402.2753906,-103.780717442113655,31.901240653151376
509,-5415.0766602,-103.775803865427406,31.901240653151376
510,-5415.0766602,-103.770890288741100,31.901240653151376
511,-5426.3544922,-103.765976712054965,31.901240653151376
512,-5426.3544922,-103.761063135368772,31.901240653151376
513,-5436.1079102,-103.756149558682466,31.901240653151376
